occupation,n
retired law clerk,1
retired lawyer,1
retired military,1
retired school principal,1
retired teacher,1
"retired, casual worker",1
"retired, farming, and par-time rural mail delivery",1
"retired, now consulting in it.",1
"retired, teaching in 2nd career",1
retired.,1
retired/consulting,1
retired4,1
retraitã©/ chauffeur,1
retraite,1
risk analyst,1
rtf  (ressources de type familiale),1
"run an onlie company, i m president of that company",1
rv tech,1
safety professional,1
sales (agricultural),1
sales associate,1
sales engineer,1
sales manager,1
sales of electrical products,1
sales person,1
sales postion,1
sales rep & musician,1
sales representatives,1
sales worker at ikea,1
salesman,1
salesperson,1
salesperson - sales manager/wholesaler for a liquour company,1
scheduler at a university,1
school,1
school receptionist,1
screening officer,1
seafood worker,1
secrã©taire administrative,1
secrã©taire comptable,1
secteur manufacturier,1
security consultant,1
security guard.,1
security manager,1
security officer,1
self employed - farm/agriculture specialist,1
"self employed - human resources, training &development",1
self employed - management and small business owner,1
self employed - tv and media - co-owner of a tv channel,1
self employed bookkeeper,1
self employed healthcare provider,1
self employed in human resources,1
self employed minister,1
self employed programmer,1
self employeed - steam cleaning,1
self-employed (arts),1
self-employed and university research assistant,1
"self-employed, general contractor",1
selfemploed,1
semi - retired and drive a cab,1
semi retired teacher,1
semi-retired: work a very few hours part-time and do volunteer work.,1
senior director of finance,1
senior management in advertising,1
"senior manager, marketing communications",1
senior policy analyst,1
senior project manager,1
senior project manager of international development projects,1
server at a restaurant,1
service industry,1
service technician,1
services financiers,1
settlement worker and linc instructor,1
ship's captain,1
shipyard,1
shop supervisor,1
sign language interpreter,1
signaleur routier,1
skilled trade/manufacturing,1
small business owners .(body removers),1
social housing,1
social work,1
social work/counsellor,1
social worker & operate a small business,1
software,1
software developper,1
software product manager,1
software tester,1
sofware developper,1
spã©cialiste contrã´le qualitã©,1
special education assistant,1
special needs on school bus,1
speech and language pathologist,1
sports retail owner,1
sr. b2b inside sales,1
stage hand,1
station attendant,1
stay at home dad,1
stay at home mom/rancher,1
steelworker,1
stevador,1
store clerk,1
student (university undergraduate),1
student and care aid,1
student and federal employee,1
student federal employee,1
student full time working part time in an hospital,1
student marker,1
student teacher,1
student that works,1
"student, however, i work with the federal government part time",1
"student, youth care worker",1
student/ part time worker,1
student/junior policy analyst,1
superviseur des opã©rations,1
superviseur ville de laval,1
supervisor for heavy civil construction,1
supervisor maintenance,1
supplã©ante enseignement primaire,1
supply technician for the military,1
surgeon,1
surintendant,1
surintendant aux opã©rations,1
survey engineer,1
systems engineer,1
